"Date","Close","Open","High","Low","Volume","Change"
"2022-11-11","70.77","72.25","72.66","69.33","38.72M","1.43%"
"2022-11-10","69.77","68.03","69.99","68.00","28.76M","7.60%"
"2022-11-9","64.84","66.43","66.78","64.80","22.00M","-4.83%"
"2022-11-8","68.13","67.62","68.92","66.27","23.80M","-2.27%"
"2022-11-7","69.71","71.30","71.88","68.67","25.99M","-0.14%"
"2022-11-4","69.81","71.17","71.64","67.45","50.60M","7.05%"
"2022-11-3","65.21","63.42","66.88","63.40","23.29M","0.79%"
"2022-11-2","64.70","66.48","67.67","64.33","28.06M","-1.76%"
"2022-11-1","65.86","68.01","68.45","65.64","27.26M","3.59%"
"2022-10-31","63.58","63.49","64.85","63.22","20.57M","-0.25%"
"2022-10-28","63.74","63.20","64.15","61.82","28.64M","-3.19%"
"2022-10-27","65.84","65.44","67.88","65.42","25.62M","-3.90%"
"2022-10-26","68.51","63.36","69.80","62.92","53.06M","8.37%"
"2022-10-25","63.22","65.08","66.18","61.26","68.95M","0.11%"
"2022-10-24","63.15","63.39","64.10","58.01","100.71M","-12.51%"
"2022-10-21","72.18","70.92","72.79","69.54","19.53M","0.22%"
"2022-10-20","72.02","71.60","74.94","71.55","19.17M","1.05%"
"2022-10-19","71.27","73.28","74.33","70.52","23.09M","-6.64%"
"2022-10-18","76.34","78.01","78.64","75.06","14.88M","-0.56%"
"2022-10-17","76.77","75.15","77.87","75.11","14.49M","5.14%"
"2022-10-14","73.02","76.05","76.14","72.78","13.70M","-2.65%"
"2022-10-13","75.01","72.24","75.78","71.40","17.48M","-0.95%"
"2022-10-12","75.73","74.90","76.68","74.03","13.25M","0.48%"
